Date,Net_Worth,Regime,Confidence,Action,Agent_0_Act,Agent_1_Act,Agent_2_Act
2022-12-07,7151.023742569201,2,0.99,-0.7864296102523803,1.0,1.0,-0.8044743537902832
2022-12-08,7180.326549019951,0,0.99,0.9907852536439895,1.0,1.0,-0.8429492712020874
2022-12-09,7270.080751501556,2,0.99,-0.7936786985397338,1.0,1.0,-0.8117966651916504
2022-12-12,7225.607971439462,2,0.99,-0.6844666469097137,1.0,1.0,-0.7014814615249634
2022-12-13,7245.128867680864,0,0.99,0.9900666746497154,1.0,1.0,-0.9866650700569153
2022-12-14,7069.662184061461,0,0.99,0.9900418400764466,1.0,1.0,-0.9916319847106934
2022-12-15,6987.016908601653,0,0.99,0.9914982169866562,1.0,1.0,-0.7003566026687622
2022-12-16,6928.267186079627,0,0.99,0.990580045580864,1.0,1.0,-0.8839908838272095
2022-12-19,6937.653113948042,1,0.99,0.9912810644507408,1.0,1.0,-0.7437871098518372
2022-12-20,7026.817848879797,2,0.99,-0.9784243524074554,1.0,1.0,-0.9984084367752075
2022-12-21,7111.066170360706,0,0.99,0.9903394603729248,1.0,1.0,-0.9321079254150391
2022-12-22,7139.5360731319615,2,0.99,-0.7028890722990035,1.0,1.0,-0.7200899720191956
2022-12-23,7147.23790308641,0,0.99,0.9903545582294464,1.0,1.0,-0.9290883541107178
2022-12-27,7059.266720624924,0,0.99,0.9908308744430542,1.0,1.0,-0.8338251113891602
2022-12-28,7172.79280907992,2,0.99,-0.7626321506500244,1.0,1.0,-0.7804365158081055
2022-12-29,7174.626428127786,0,0.99,0.9906236693263054,1.0,1.0,-0.8752661347389221
2022-12-30,7144.7043506536875,0,0.99,0.9907978743314743,1.0,1.0,-0.8404251337051392
2023-01-03,7186.375671405107,2,0.99,-0.8258412760496139,1.0,1.0,-0.8442841172218323
2023-01-04,7241.0584691170225,0,0.99,0.9906051105260849,1.0,1.0,-0.87897789478302
2023-01-05,7392.642582560652,2,0.99,-0.7922102695703507,1.0,1.0,-0.8103134036064148
2023-01-06,7382.7831299912505,1,0.99,0.9905909165740013,1.0,1.0,-0.8818166851997375
2023-01-09,7420.854661313362,2,0.99,-0.7994181698560715,1.0,1.0,-0.8175941109657288
2023-01-10,7344.694766521715,2,0.99,-0.9515615731477737,1.0,1.0,-0.9712743163108826
2023-01-11,7317.833106237377,2,0.99,-0.7587599474191665,1.0,1.0,-0.7765251994132996
2023-01-12,7294.672492789229,2,0.99,-0.98,1.0,1.0,-1.0
